STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/4/1948,0.35,",,0,null",0,",,0",0,",,0",,,85,",,0",60,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/5/1948,0.9,",,0,null",0,",,0",0,",,0",,,69,",,0",56,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/6/1948,0,",,0,null",0,",,0",0,",,0",,,74,",,0",52,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/7/1948,0,",,0,null",0,",,0",0,",,0",,,77,",,0",52,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/8/1948,0,",,0,null",0,",,0",0,",,0",,,81,",,0",52,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/9/1948,0,",,0,null",0,",,0",0,",,0",,,84,",,0",57,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/10/1948,0,",,0,null",0,",,0",0,",,0",,,86,",,0",58,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/11/1948,0.82,",,0,null",0,",,0",0,",,0",,,84,",,0",63,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/12/1948,0.02,",,0,null",0,",,0",0,",,0",,,83,",,0",65,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/13/1948,0.01,",,0,null",0,",,0",0,",,0",,,83,",,0",62,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/14/1948,0,",,0,null",0,",,0",0,",,0",,,81,",,0",63,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/15/1948,0,",,0,null",0,",,0",0,",,0",,,82,",,0",54,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/16/1948,0,",,0,null",0,",,0",0,",,0",,,82,",,0",57,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/17/1948,0,",,0,null",0,",,0",0,",,0",,,85,",,0",55,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/18/1948,1.04,",,0,null",0,",,0",0,",,0",,,81,",,0",63,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/19/1948,0,",,0,null",0,",,0",0,",,0",,,83,",,0",60,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/20/1948,0,",,0,null",0,",,0",0,",,0",,,82,",,0",59,",,0",,
USW00003804,"PARKERSBURG MID OHIO VALLEY REGIONAL AIRPORT, WV US",39.33948,-81.44379,245.3,8/21/1948,0,",,0,null",0,",,0",0,",,0",,,86,",,0",61,",,0",,
